#nod,x,y,heuristic
1,-0.5,-0.5,1.414213562
2,0.145008771,-0.043891358,0.649489478
3,0.156655598,-0.002907832,0.608934861
4,0.414989726,0.111928515,0.397273488
5,0.455878181,0.263916211,0.240171377
6,0.462140556,0.391503701,0.114912072
7,0.494082784,0.402025967,0.098152557
8,0.49887563,0.450564115,0.04944867
9,0.499308086,0.457343888,0.042661723
10,0.499462239,0.4745186,0.025487074
11,0.499720098,0.482651907,0.017350351
12,0.499914855,0.496417845,0.003583167
13,0.499971109,0.497728158,0.002272026
